source,model,symbol,direction,is_live,ts_in_utc,ts_out_utc,ts_in_wita,ts_out_wita,date_entry_utc,date_entry_wita,entry,exit,tp,sl,outcome,net_pnl,modal_used,signal_confidence,hold_bars,status,is_win
live_db,ic32_regime_v1,NEARUSDT,SHORT,1,2026-06-10T01:05:05.067314+00:00,2026-06-10T05:38:16.965391+00:00,2026-06-10 09:05:05,2026-06-10 13:38:16,2026-06-10,2026-06-10,2.140929,2.0580285,2.0290115959213035,2.2879793510196738,guardian_exit,0.964,5.0,0.693,4,closed,True
live_db,ic32_regime_v1,AVAXUSDT,SHORT,1,2026-06-10T03:05:03.491968+00:00,2026-06-10T05:38:17.893779+00:00,2026-06-10 11:05:03,2026-06-10 13:38:17,2026-06-10,2026-06-10,6.5707130000000005,6.4962465,6.432403583660805,6.7325773540848,guardian_exit,0.2793,5.0,0.6934,2,closed,True
live_db,ic32_regime_v1,AVAXUSDT,SHORT,1,2026-06-10T05:05:03.905321+00:00,2026-06-10T08:43:18.883587+00:00,2026-06-10 13:05:03,2026-06-10 16:43:18,2026-06-10,2026-06-10,6.549723500000001,6.4562265,6.419566945801523,6.73053913854962,guardian_exit,0.3529,5.0,0.6941,3,closed,True
live_db,ic32_regime_v1,AVAXUSDT,SHORT,1,2026-06-10T07:05:07.565548+00:00,2026-06-10T09:18:18.211508+00:00,2026-06-10 15:05:07,2026-06-10 17:18:18,2026-06-10,2026-06-10,6.5357305,6.469233,6.4071074289205505,6.707155767769862,guardian_exit,0.2504,5.0,0.7253,2,closed,True
live_db,ic32_regime_v1,ETHUSDT,SHORT,1,2026-06-10T07:05:16.567078+00:00,2026-06-10T09:13:18.142151+00:00,2026-06-10 15:05:16,2026-06-10 17:13:18,2026-06-10,2026-06-10,1631.733725,1618.30875,1605.091361198966,1652.9305909502584,guardian_exit,0.2017,5.0,0.7187,2,closed,True
live_db,ic32_regime_v1,LINKUSDT,SHORT,1,2026-06-10T07:05:27.168669+00:00,2026-06-10T09:13:19.059811+00:00,2026-06-10 15:05:27,2026-06-10 17:13:19,2026-06-10,2026-06-10,7.736130000000001,7.6708335,7.599345609747046,7.905196097563239,guardian_exit,0.207,5.0,0.6237,2,closed,True
live_db,ic32_regime_v1,XRPUSDT,SHORT,1,2026-06-10T17:05:15.986723+00:00,2026-06-10T19:06:20.419638+00:00,2026-06-11 01:05:15,2026-06-11 03:06:20,2026-06-10,2026-06-11,1.1166414,1.1037515999999998,1.090452267280093,1.143447283179977,guardian_exit,0.2846,5.0,0.731,2,closed,True
live_db,ic32_regime_v1,1000SHIBUSDT,LONG,1,2026-06-10T19:05:28.006701+00:00,2026-06-10T21:06:19.944562+00:00,2026-06-11 03:05:28,2026-06-11 05:06:19,2026-06-10,2026-06-11,0.004676337,0.0045996990000000005,0.004778235982846921,0.00459052525428827,guardian_exit,-0.4137,5.0,0.74,2,closed,False
live_db,ic32_regime_v1,AVAXUSDT,SHORT,1,2026-06-11T01:05:03.493066+00:00,2026-06-11T03:56:20.079967+00:00,2026-06-11 09:05:03,2026-06-11 11:56:20,2026-06-11,2026-06-11,6.454771000000001,6.6247659513281985,6.2809501051346395,6.621455223716341,sl_hit,-0.6624,5.0,0.6902,2,closed,False
live_db,ic32_regime_v1,TAOUSDT,SHORT,1,2026-06-11T01:05:31.871583+00:00,2026-06-11T03:46:20.467216+00:00,2026-06-11 09:05:31,2026-06-11 11:46:20,2026-06-11,2026-06-11,203.39825000000002,207.013455,196.58835662936903,212.29247334265776,guardian_exit,-0.4484,5.0,0.6406,2,closed,False
live_db,ic32_regime_v1,ARBUSDT,LONG,1,2026-06-11T02:05:17.492912+00:00,2026-06-11T04:56:19.877443+00:00,2026-06-11 10:05:17,2026-06-11 12:56:19,2026-06-11,2026-06-11,0.07861929,0.080869545,0.08111,0.07489818974868319,guardian_momentum_exit,0.7116,5.0,0.7771,2,closed,True
live_db,ic32_regime_v1,SUIUSDT,SHORT,1,2026-06-11T08:05:02.398071+00:00,2026-06-11T17:31:52.477573+00:00,2026-06-11 16:05:02,2026-06-12 01:31:52,2026-06-11,2026-06-11,0.7491252500000001,0.7584790499999999,0.7261,0.7662353462384294,guardian_exit,-0.3162,5.0,0.7507,9,closed,False
live_db,ic32_regime_v1,1000PEPEUSDT,SHORT,1,2026-06-11T08:05:10.693954+00:00,2026-06-11T17:31:53.525562+00:00,2026-06-11 16:05:10,2026-06-12 01:31:53,2026-06-11,2026-06-11,0.00276211825,0.0028009998,0.0026894,0.002814627512581655,guardian_exit,-0.3559,5.0,0.6763,9,closed,False
live_db,ic32_regime_v1,ARBUSDT,SHORT,1,2026-06-11T08:05:22.514071+00:00,2026-06-11T11:31:52.566009+00:00,2026-06-11 16:05:22,2026-06-11 19:31:52,2026-06-11,2026-06-11,0.08034980500000001,0.08155075499999999,0.07741,0.08352946310057743,guardian_exit,-0.3777,5.0,0.7162,3,closed,False
live_db,ic32_regime_v1,SUIUSDT,SHORT,1,2026-06-11T09:05:02.288702+00:00,2026-06-11T17:41:52.340553+00:00,2026-06-11 17:05:02,2026-06-12 01:41:52,2026-06-11,2026-06-11,0.7506245,0.76428195,0.7261,0.7660066334066388,guardian_exit,-0.4589,5.0,0.7141,8,closed,False
live_db,ic32_regime_v1,HBARUSDT,LONG,1,2026-06-11T13:05:24.226813+00:00,2026-06-11T15:06:52.831321+00:00,2026-06-11 21:05:24,2026-06-11 23:06:52,2026-06-11,2026-06-11,0.078469215,0.077631165,0.07953144930999413,0.07730444142250147,guardian_exit,-0.271,5.0,0.7747,2,closed,False
