bar_in,bar_out,direction,entry,exit,tp,sl,rr,outcome,net_pnl,equity,modal_used,partial_bar,partial_pnl,partial_price,partial_ratio
12224,12226,SHORT,1.0944525e-05,1.1055524999999998e-05,1.0760717722173938e-05,1.1215951819456516e-05,0.68,GUARDIAN_EXIT,-0.5471,-5.0039,10.0,,0.0,,
12226,12234,SHORT,1.1044475e-05,1.1025509999999999e-05,1.077e-05,1.121340381105845e-05,1.62,GUARDIAN_EXIT,0.0459,-4.9581,10.0,,0.0,,
12330,12342,LONG,1.1215604999999998e-05,1.1053257910630004e-05,1.1380455782871417e-05,1.1058787304282145e-05,1.05,LOSS,-0.7638,-5.7218,10.0,,0.0,,
12331,12342,LONG,1.1205599999999998e-05,1.1056751189212673e-05,1.1356470678488561e-05,1.106228233037786e-05,1.05,LOSS,-0.7042,-6.426,10.0,,0.0,,
12350,12373,SHORT,1.1064465000000001e-05,1.1055524999999998e-05,1.09e-05,1.1258624848879357e-05,0.85,GUARDIAN_EXIT,0.0004,-6.4256,10.0,,0.0,,
12381,12384,SHORT,1.097451e-05,1.1075535e-05,1.082e-05,1.1112544362209346e-05,1.12,GUARDIAN_EXIT,-0.5003,-6.9259,10.0,,0.0,,
12460,12464,SHORT,1.031484e-05,1.0195095e-05,1.0181901424900398e-05,1.0443234643774901e-05,1.04,GUARDIAN_MOMENTUM_EXIT,0.5405,-6.3854,10.0,,0.0,,
12470,12491,SHORT,1.0184905000000002e-05,1.0363717070322783e-05,1.0030753794311713e-05,1.0358537801422072e-05,0.89,LOSS,0.7604,-5.625,10.0,12488.0,1.2293,1e-05,0.5
12471,12491,SHORT,1.0184905000000002e-05,1.0361244127613078e-05,1.0040640621736818e-05,1.0356066094565795e-05,0.84,LOSS,0.7665,-4.8585,10.0,12488.0,1.2293,1e-05,0.5
12476,12491,SHORT,1.001499e-05,1.0271874372574609e-05,9.828025991705715e-06,1.0266741002073572e-05,0.74,LOSS,0.155,-4.7035,10.0,12488.0,0.8262,1e-05,0.5
12554,12578,SHORT,1.0304845e-05,1.0295144999999999e-05,1.0148165967188414e-05,1.042235427460869e-05,1.33,GUARDIAN_EXIT,0.0071,-4.6965,10.0,,0.0,,
12597,12610,SHORT,1.03948e-05,1.0135065e-05,1.022547829851657e-05,1.0542330425370857e-05,1.15,GUARDIAN_MOMENTUM_EXIT,1.2094,-3.4871,10.0,,0.0,,
12643,12651,SHORT,9.895050000000001e-06,1.0035015e-05,9.5e-06,1.0247967741083922e-05,1.12,GUARDIAN_EXIT,-0.7472,-4.2344,10.0,,0.0,,
12774,12776,LONG,9.944969999999998e-06,1.0024985e-05,1.007026759571794e-05,9.848675601070515e-06,1.3,GUARDIAN_EXIT,0.3623,-3.8721,10.0,,0.0,,
12792,12796,SHORT,1.0464765000000001e-05,1.0707670862828557e-05,1.018e-05,1.0702319702977069e-05,1.2,LOSS,-1.2006,-5.0727,10.0,,0.0,,
12793,12796,SHORT,1.03948e-05,1.0705360414451415e-05,1.0154758363012827e-05,1.0700010409246792e-05,0.79,LOSS,-1.5338,-6.6065,10.0,,0.0,,
12866,12870,SHORT,1.2383805e-05,1.250625e-05,1.153e-05,1.2877469170508784e-05,1.73,GUARDIAN_EXIT,-0.5344,-7.1409,10.0,,0.0,,
12939,12975,SHORT,1.3303345e-05,1.33099966725e-05,1.226e-05,1.3808381741187274e-05,2.07,TIMEOUT_MOMENTUM,0.6303,-6.5106,10.0,12954.0,0.6728,1.3e-05,0.5
12972,12974,SHORT,1.2173910000000001e-05,1.1715855e-05,1.1613071578744138e-05,1.2594538815941898e-05,1.33,GUARDIAN_MOMENTUM_EXIT,1.8413,-4.6693,10.0,,0.0,,
12978,13014,LONG,1.1915955e-05,1.19099970225e-05,1.25e-05,1.1360028657354982e-05,1.05,TIMEOUT_MOMENTUM,0.3546,-4.3146,10.0,12984.0,0.3971,1.2e-05,0.5
12979,13015,LONG,1.2106049999999999e-05,1.2099996975e-05,1.2665950654502726e-05,1.1360024836374319e-05,0.75,TIMEOUT_MOMENTUM,0.2241,-4.0905,10.0,12982.0,0.2666,1.2e-05,0.5
12992,13000,LONG,1.2056025e-05,1.1764115e-05,1.2518996176962998e-05,1.162425720575925e-05,1.07,GUARDIAN_EXIT,-1.2506,-5.3412,10.0,,0.0,,
13047,13082,SHORT,1.2623685e-05,1.26299968425e-05,1.228056099075144e-05,1.2925781002312141e-05,1.14,GUARDIAN_MOMENTUM_PARTIAL,0.2915,-5.0497,10.0,13049.0,0.334,1.2e-05,0.5
13090,13096,LONG,1.186593e-05,1.1572252622874913e-05,1.2233763425212957e-05,1.1578041643696761e-05,1.28,LOSS,-0.3973,-5.447,10.0,13094.0,0.2514,1.2e-05,0.5
13091,13096,LONG,1.1895944999999999e-05,1.158050960649159e-05,1.2230733968517895e-05,1.1586302757870525e-05,1.08,LOSS,-0.5052,-5.9523,10.0,13094.0,0.1877,1.2e-05,0.5
13099,13100,SHORT,1.1794100000000001e-05,1.144572e-05,1.140555219169392e-05,1.2207136952076519e-05,0.94,GUARDIAN_MOMENTUM_EXIT,1.4369,-4.5154,10.0,,0.0,,
13164,13172,SHORT,1.0104945e-05,1.008504e-05,9.455486537475668e-06,1.0712364615631084e-05,1.07,GUARDIAN_EXIT,0.0585,-4.4569,10.0,,0.0,,
13165,13201,SHORT,1.0174910000000002e-05,1.0179997455000001e-05,9.569379332478913e-06,1.0701382666880272e-05,1.15,TIMEOUT_MOMENTUM,0.1807,-4.2762,10.0,13172.0,0.2232,1e-05,0.5
13170,13206,SHORT,1.0244875e-05,1.02499974375e-05,9.729481606569999e-06,1.0631420045072503e-05,1.33,TIMEOUT_MOMENTUM,0.3498,-3.9263,10.0,13172.0,0.3923,1e-05,0.5
13176,13212,SHORT,1.013493e-05,1.0139997465e-05,9.637028131582028e-06,1.0594475467104493e-05,1.08,TIMEOUT_MOMENTUM,0.0583,-3.868,10.0,13180.0,0.1008,1e-05,0.5
13178,13214,SHORT,1.0174910000000002e-05,1.0179997455000001e-05,9.721641485499391e-06,1.0583317128625152e-05,1.11,TIMEOUT_MOMENTUM,0.1561,-3.7119,10.0,13180.0,0.1986,1e-05,0.5
13189,13191,SHORT,9.75512e-06,9.78489e-06,9.326381612499123e-06,1.031718459687522e-05,0.76,GUARDIAN_EXIT,-0.1926,-3.9045,10.0,,0.0,,
13191,13199,SHORT,9.77511e-06,9.44472e-06,9.368457611166007e-06,1.0311663097208498e-05,0.76,GUARDIAN_MOMENTUM_EXIT,1.65,-2.2545,10.0,,0.0,,
13231,13267,SHORT,9.305345000000002e-06,9.309997672500002e-06,8.911683237330209e-06,9.848415440667449e-06,0.72,TIMEOUT_MOMENTUM,0.3111,-1.9434,10.0,13235.0,0.3536,9e-06,0.5
13246,13248,LONG,8.82441e-06,9.29535e-06,9.239984147569264e-06,8.446106463107683e-06,1.1,GUARDIAN_MOMENTUM_EXIT,2.6284,0.685,10.0,,0.0,,
13247,13248,LONG,8.774385000000001e-06,9.29535e-06,9.17988259456003e-06,8.448625601359991e-06,1.24,GUARDIAN_MOMENTUM_EXIT,2.9287,3.6137,10.0,,0.0,,
13255,13281,SHORT,9.215390000000001e-06,9.556360949260326e-06,8.67e-06,9.551585156681985e-06,1.62,LOSS,-0.5163,3.0974,10.0,13260.0,0.4387,9e-06,0.5
13298,13303,SHORT,9.385305e-06,9.14457e-06,9.071646063555685e-06,9.620549202333236e-06,1.33,GUARDIAN_EXIT,1.2425,4.3399,10.0,,0.0,,
13322,13327,LONG,9.104549999999999e-06,8.961556136166012e-06,9.280393377024464e-06,8.966039155743884e-06,1.27,LOSS,-0.8253,3.5146,10.0,,0.0,,
13371,13397,LONG,9.054525e-06,8.906308466354733e-06,9.171469606884518e-06,8.910763848278872e-06,0.81,LOSS,-0.2408,3.2737,10.0,13377.0,0.1984,9e-06,0.5
13394,13397,SHORT,9.065465e-06,8.94447e-06,8.9398189896901e-06,9.271411502577474e-06,0.61,GUARDIAN_MOMENTUM_EXIT,0.6273,3.9011,10.0,,0.0,,
