2026-06-18 10:15:06 | INFO     | evaluator | [DOGEUSDT] Winrate: 75.00% (36W / 12L / 48 trades | time_exit=8) | Sharpe=3.45 Sortino=2.70 Calmar=78.97 PF=3.05
2026-06-18 10:15:06 | INFO     | evaluator | [DOGEUSDT] Lev 5.0x -> PnL: $+21.71 | DD: 38.73%
2026-06-18 10:15:06 | INFO     | evaluator | [DOGEUSDT] Winrate: 53.66% (44W / 38L / 82 trades | time_exit=9) | Sharpe=0.58 Sortino=0.61 Calmar=1.25 PF=1.12
2026-06-18 10:15:06 | INFO     | evaluator | [DOGEUSDT] Lev 5.0x -> PnL: $+3.96 | DD: 136.69%
2026-06-18 10:15:07 | INFO     | evaluator | [TONUSDT] Winrate: 65.48% (55W / 29L / 84 trades | time_exit=2) | Sharpe=4.56 Sortino=12.77 Calmar=212.60 PF=2.83
2026-06-18 10:15:07 | INFO     | evaluator | [TONUSDT] Lev 5.0x -> PnL: $+28.76 | DD: 26.61%
2026-06-18 10:15:07 | INFO     | evaluator | [TONUSDT] Winrate: 64.29% (54W / 30L / 84 trades | time_exit=1) | Sharpe=4.74 Sortino=13.46 Calmar=323.16 PF=2.79
2026-06-18 10:15:07 | INFO     | evaluator | [TONUSDT] Lev 5.0x -> PnL: $+30.08 | DD: 19.39%
2026-06-18 10:15:07 | INFO     | evaluator | [TONUSDT] Winrate: 63.10% (53W / 31L / 84 trades | time_exit=2) | Sharpe=4.31 Sortino=11.52 Calmar=170.38 PF=2.44
2026-06-18 10:15:07 | INFO     | evaluator | [TONUSDT] Lev 5.0x -> PnL: $+25.56 | DD: 25.53%
2026-06-18 10:15:07 | INFO     | evaluator | [TONUSDT] Winrate: 64.10% (50W / 28L / 78 trades | time_exit=2) | Sharpe=3.90 Sortino=12.80 Calmar=237.38 PF=2.91
2026-06-18 10:15:07 | INFO     | evaluator | [TONUSDT] Lev 5.0x -> PnL: $+27.70 | DD: 21.90%
2026-06-18 10:15:08 | INFO     | evaluator | [TONUSDT] Winrate: 61.70% (29W / 18L / 47 trades | time_exit=1) | Sharpe=3.00 Sortino=8.39 Calmar=106.34 PF=2.70
2026-06-18 10:15:08 | INFO     | evaluator | [TONUSDT] Lev 5.0x -> PnL: $+16.47 | DD: 16.37%
2026-06-18 10:15:08 | INFO     | evaluator | [TONUSDT] Winrate: 65.00% (52W / 28L / 80 trades | time_exit=1) | Sharpe=3.90 Sortino=14.36 Calmar=260.99 PF=2.87
2026-06-18 10:15:08 | INFO     | evaluator | [TONUSDT] Lev 5.0x -> PnL: $+27.25 | DD: 19.21%
2026-06-18 10:15:09 | INFO     | evaluator | [ADAUSDT] Winrate: 66.25% (53W / 27L / 80 trades | time_exit=10) | Sharpe=3.22 Sortino=3.93 Calmar=79.69 PF=2.67
2026-06-18 10:15:09 | INFO     | evaluator | [ADAUSDT] Lev 5.0x -> PnL: $+31.01 | DD: 84.32%
2026-06-18 10:15:09 | INFO     | evaluator | [ADAUSDT] Winrate: 67.07% (55W / 27L / 82 trades | time_exit=10) | Sharpe=3.22 Sortino=4.08 Calmar=115.60 PF=2.79
2026-06-18 10:15:09 | INFO     | evaluator | [ADAUSDT] Lev 5.0x -> PnL: $+36.49 | DD: 84.99%
2026-06-18 10:15:09 | INFO     | evaluator | [ADAUSDT] Winrate: 70.37% (57W / 24L / 81 trades | time_exit=9) | Sharpe=3.74 Sortino=4.62 Calmar=159.86 PF=3.12
2026-06-18 10:15:09 | INFO     | evaluator | [ADAUSDT] Lev 5.0x -> PnL: $+38.95 | DD: 71.78%
2026-06-18 10:15:09 | INFO     | evaluator | [ADAUSDT] Winrate: 70.67% (53W / 22L / 75 trades | time_exit=9) | Sharpe=3.80 Sortino=5.01 Calmar=161.25 PF=3.26
2026-06-18 10:15:09 | INFO     | evaluator | [ADAUSDT] Lev 5.0x -> PnL: $+35.49 | DD: 57.05%
2026-06-18 10:15:09 | INFO     | evaluator | [ADAUSDT] Winrate: 75.00% (39W / 13L / 52 trades | time_exit=6) | Sharpe=3.96 Sortino=4.69 Calmar=154.38 PF=4.26
2026-06-18 10:15:09 | INFO     | evaluator | [ADAUSDT] Lev 5.0x -> PnL: $+32.33 | DD: 47.91%
2026-06-18 10:15:10 | INFO     | evaluator | [ADAUSDT] Winrate: 63.64% (49W / 28L / 77 trades | time_exit=9) | Sharpe=3.31 Sortino=3.97 Calmar=67.27 PF=2.31
2026-06-18 10:15:10 | INFO     | evaluator | [ADAUSDT] Lev 5.0x -> PnL: $+27.74 | DD: 77.54%
2026-06-18 10:15:10 | INFO     | evaluator | [TRXUSDT] Winrate: 53.09% (43W / 38L / 81 trades | time_exit=1) | Sharpe=1.61 Sortino=1.49 Calmar=3.70 PF=1.22
2026-06-18 10:15:10 | INFO     | evaluator | [TRXUSDT] Lev 5.0x -> PnL: $+3.26 | DD: 35.80%
2026-06-18 10:15:11 | INFO     | evaluator | [TRXUSDT] Winrate: 54.65% (47W / 39L / 86 trades | time_exit=0) | Sharpe=1.57 Sortino=1.55 Calmar=3.04 PF=1.23
2026-06-18 10:15:11 | INFO     | evaluator | [TRXUSDT] Lev 5.0x -> PnL: $+3.68 | DD: 51.12%
2026-06-18 10:15:11 | INFO     | evaluator | [TRXUSDT] Winrate: 54.12% (46W / 39L / 85 trades | time_exit=0) | Sharpe=1.67 Sortino=1.58 Calmar=4.10 PF=1.26
2026-06-18 10:15:11 | INFO     | evaluator | [TRXUSDT] Lev 5.0x -> PnL: $+3.93 | DD: 41.38%
2026-06-18 10:15:11 | INFO     | evaluator | [TRXUSDT] Winrate: 55.41% (41W / 33L / 74 trades | time_exit=0) | Sharpe=1.73 Sortino=1.62 Calmar=3.72 PF=1.30
2026-06-18 10:15:11 | INFO     | evaluator | [TRXUSDT] Lev 5.0x -> PnL: $+3.94 | DD: 45.81%
2026-06-18 10:15:11 | INFO     | evaluator | [TRXUSDT] Winrate: 66.67% (24W / 12L / 36 trades | time_exit=0) | Sharpe=2.46 Sortino=3.19 Calmar=10.24 PF=1.89
2026-06-18 10:15:11 | INFO     | evaluator | [TRXUSDT] Lev 5.0x -> PnL: $+4.97 | DD: 22.90%
2026-06-18 10:15:11 | INFO     | evaluator | [TRXUSDT] Winrate: 51.19% (43W / 41L / 84 trades | time_exit=0) | Sharpe=0.76 Sortino=0.74 Calmar=0.26 PF=1.03
2026-06-18 10:15:12 | INFO     | evaluator | [TRXUSDT] Lev 5.0x -> PnL: $+0.48 | DD: 57.55%
2026-06-18 10:15:12 | INFO     | evaluator | [1000SHIBUSDT] Winrate: 46.94% (46W / 52L / 98 trades | time_exit=5) | Sharpe=2.17 Sortino=2.36 Calmar=9.25 PF=1.34
2026-06-18 10:15:12 | INFO     | evaluator | [1000SHIBUSDT] Lev 5.0x -> PnL: $+11.37 | DD: 94.07%
2026-06-18 10:15:12 | INFO     | evaluator | [1000SHIBUSDT] Winrate: 0.00% (0W / 0L / 0 trades | time_exit=0) | Sharpe=0.00 Sortino=0.00 Calmar=0.00 PF=0.00
2026-06-18 10:15:12 | INFO     | evaluator | [1000SHIBUSDT] Lev 5.0x -> PnL: $+0.00 | DD: 0.00%
2026-06-18 10:15:12 | INFO     | evaluator | [1000SHIBUSDT] Winrate: 0.00% (0W / 0L / 0 trades | time_exit=0) | Sharpe=0.00 Sortino=0.00 Calmar=0.00 PF=0.00
2026-06-18 10:15:12 | INFO     | evaluator | [1000SHIBUSDT] Lev 5.0x -> PnL: $+0.00 | DD: 0.00%
2026-06-18 10:15:12 | INFO     | evaluator | [1000SHIBUSDT] Winrate: 0.00% (0W / 0L / 0 trades | time_exit=0) | Sharpe=0.00 Sortino=0.00 Calmar=0.00 PF=0.00
2026-06-18 10:15:12 | INFO     | evaluator | [1000SHIBUSDT] Lev 5.0x -> PnL: $+0.00 | DD: 0.00%
2026-06-18 10:15:13 | INFO     | evaluator | [1000SHIBUSDT] Winrate: 0.00% (0W / 0L / 0 trades | time_exit=0) | Sharpe=0.00 Sortino=0.00 Calmar=0.00 PF=0.00
2026-06-18 10:15:13 | INFO     | evaluator | [1000SHIBUSDT] Lev 5.0x -> PnL: $+0.00 | DD: 0.00%
2026-06-18 10:15:13 | INFO     | evaluator | [1000SHIBUSDT] Winrate: 0.00% (0W / 0L / 0 trades | time_exit=0) | Sharpe=0.00 Sortino=0.00 Calmar=0.00 PF=0.00
2026-06-18 10:15:13 | INFO     | evaluator | [1000SHIBUSDT] Lev 5.0x -> PnL: $+0.00 | DD: 0.00%
2026-06-18 10:15:13 | INFO     | evaluator | [AVAXUSDT] Winrate: 53.51% (61W / 53L / 114 trades | time_exit=7) | Sharpe=2.98 Sortino=6.33 Calmar=35.15 PF=1.55
