Opened,Closed,Coin,Model,Direction,Conf,Entry,Exit,TP,SL,ATR,% to H4Hi,% to H4Lo,RR,H4 Trend,Vol Regime,H4 High,H4 Low,Qty,Leverage,PnL ($),PnL (%),Exit Reason,Hold Bars,Status
2026-05-09 02:05,2026-05-09 05:02,TRXUSDT,cascade_v2,LONG,0.97,0.350200,0.352145,0.352145,0.337330,0.00097227,+0.5,+3.7,0.15,UP,0.05,0.351810,0.337330,100.0000,5.0,+2.70,+2.7,tp_hit,2,closed
2026-05-08 23:05,2026-05-09 23:09,ETHUSDT,cascade_v2,LONG,0.85,2308.89,2325.78,2422.52,2263.43,11.6990,+4.9,+2.0,2.50,UP,0.03,2422.52,2263.43,100.0000,5.0,+3.58,+3.6,time_exit,24,closed
2026-05-08 15:05,2026-05-08 17:32,SOLUSDT,cascade_v2,LONG,0.85,88.8900,90.4000,90.4000,83.1800,0.573560,+1.7,+6.4,0.26,UP,0.13,90.4000,83.1800,100.0000,5.0,+8.41,+8.4,tp_hit,2,closed
2026-05-08 09:05,2026-05-08 17:22,ADAUSDT,cascade_v2,LONG,0.92,0.262900,0.270200,0.270200,0.246700,0.00182984,+2.8,+6.2,0.45,DOWN,0.08,0.270200,0.246700,100.0000,5.0,+13.80,+13.8,tp_hit,8,closed
2026-05-08 07:05,2026-05-09 03:33,BNBUSDT,cascade_v2,LONG,0.97,635.9900,654.1400,664.7200,614.0000,3.2760,+4.5,+3.5,1.31,DOWN,0.06,664.7200,614.0000,100.0000,5.0,+14.19,+14.2,manual_close,20,closed
2026-05-08 06:05,2026-05-09 06:07,XRPUSDT,cascade_v2,LONG,0.94,1.3809,1.4262,1.4568,1.3749,0.00599032,+5.5,+0.0,12.65,DOWN,0.26,1.4568,1.3804,100.0000,5.0,+16.32,+16.3,time_exit,24,closed
2026-05-08 05:05,2026-05-08 07:27,ETHUSDT,cascade_v2,LONG,0.97,2279.96,2267.99,2303.90,2267.99,11.9695,+6.3,-0.7,2.00,DOWN,0.03,2422.52,2296.01,100.0000,5.0,-2.70,-2.7,sl_hit,2,closed
2026-05-08 05:05,2026-05-09 05:07,TONUSDT,cascade_v2,LONG,0.94,2.6888,2.6045,2.9078,1.3065,0.101137,+8.1,+51.4,0.16,UP,0.05,2.9078,1.3065,100.0000,5.0,-15.76,-15.8,time_exit,24,closed
2026-05-08 05:05,2026-05-09 05:07,1000SHIBUSDT,cascade_v2,LONG,0.77,0.00628600,0.00646100,0.00652500,0.00612100,0.00004447,+3.8,+2.6,1.45,DOWN,0.09,0.00652500,0.00612100,100.0000,5.0,+13.84,+13.8,time_exit,24,closed
2026-05-08 03:05,2026-05-08 08:32,POLUSDT,cascade_v2,LONG,0.91,0.098290,0.100070,0.100070,0.094810,0.00066486,+1.8,+3.5,0.51,DOWN,0.06,0.100070,0.094810,100.0000,5.0,+8.97,+9.0,tp_hit,5,closed
