bar_in,bar_out,direction,entry,exit,tp,sl,rr,outcome,net_pnl,equity,modal_used,partial_bar,partial_pnl,partial_price,partial_ratio
31745,31747,SHORT,8.4827565,8.34417,8.269572395578942,8.659296026105265,1.21,GUARDIAN_EXIT,0.7769,185.4753,10.0,,0.0,,
31869,31871,SHORT,9.063466,8.8534245,8.903817819115845,9.183202135663116,1.33,GUARDIAN_MOMENTUM_EXIT,1.1187,186.594,10.0,,0.0,,
31877,31879,SHORT,8.904545500000001,8.876436,8.672649588662399,9.133973977834401,1.01,GUARDIAN_MOMENTUM_EXIT,0.1178,186.7119,10.0,,0.0,,
31973,31976,LONG,7.170583499999999,6.974337354020448,7.427593143794633,6.9778262671540245,1.33,LOSS,-1.4084,185.3035,10.0,,0.0,,
31983,31985,SHORT,6.384806,6.3621795,5.693,7.298983382658815,0.76,GUARDIAN_EXIT,0.1372,185.4407,10.0,,0.0,,
31997,32033,LONG,6.5472719999999995,6.543998364,6.892415272252452,6.2617141819368864,1.21,TIMEOUT_MOMENTUM,0.2748,185.7155,10.0,32000.0,0.3173,6.629684,0.5
32010,32014,SHORT,6.7116425,7.009464925524678,6.403794721790395,7.005961944552402,1.05,LOSS,-2.2587,183.4568,10.0,,0.0,,
32012,32014,LONG,6.735366,7.102447000000001,7.01054055341077,6.418206361647307,0.87,GUARDIAN_MOMENTUM_EXIT,2.685,186.1418,10.0,,0.0,,
32022,32025,LONG,6.8344155,6.6836565000000006,7.206,6.594578239599205,1.55,GUARDIAN_EXIT,-1.1429,184.9989,10.0,,0.0,,
32080,32116,LONG,6.5782875,6.57499835625,6.8338821433034305,6.262101339174142,0.81,TIMEOUT_MOMENTUM,0.2466,185.2455,10.0,32084.0,0.2891,6.653672,0.5
32276,32294,LONG,6.8544255,6.7296335,7.014001583183575,6.689105979204106,0.97,GUARDIAN_EXIT,-0.9503,184.2952,10.0,,0.0,,
32340,32342,SHORT,6.874561000000001,6.7803885,6.772452754621267,6.965527061344684,1.12,GUARDIAN_MOMENTUM_EXIT,0.6449,184.9402,10.0,,0.0,,
